,id,dp.pt,dp.pp,dp.l,ar.pt,ar.l,ar.wings,dp.wings
6,6561451174507366599-2303142246-1,2303142246,13,,,,,
7,-8573984535168492837-2303142132-10,,,,2303142221,RB31,,
8,5894095190267093244-2303142207-5,,,,2303142238,1,,
9,-6135149363643450208-2303142211-1,2303142211,6A-C,81,,,,
10,4092564529737390454-2303142206-1,2303142206,7A-D,8,,,,
11,-7540889014977557059-2303142234-1,2303142234,5A-C,80,,,,
12,6954924236955692259-2303141328-16,,,,2303142214,,,
13,-8941932149309778658-2303141723-10,,,,2303142246,,,
14,-8506778041331353351-2303142241-1,2303142241,8,81,,,,
15,5318762053619111542-2303142206-9,,,,2303142250,81,,
16,-6855312160023731596-2303142210-4,,,,2303142253,8,,
17,7916679846390981986-2303142254-1,2303142254,7A-D,1,,,,
0,8218544619443085427-2303141641-13,,,,2303142334,,,
1,8984486982182812745-2303142311-1,2303142311,6A-C,81,,,,
2,-8060825124218528893-2303142238-5,,,,2303142325,80,,
3,-8566953819069085350-2303142158-15,,,,2303142326,RB41,,
4,8315793384307653339-2303142259-4,,,,2303142353,8,,
5,-7573651573329216408-2303141500-18,,,,2303142342,,,
6,-7316606966393455965-2303142306-1,2303142306,5,8,,,,
7,6460993900723984023-2303142333-1,2303142333,14,RB31,,,,
8,5159579159358071308-2303142316-7,,,,2303142350,81,,
9,4840620519341486554-2303142334-1,2303142334,6A-C,80,,,,
10,3655846017428359643-2303142232-10,,,,2303142321,RB31,,
11,-4260948404223494624-2303142337-1,2303142337,13,RB41,,,,
12,-5438102898558279853-2303142236-9,,,,2303142320,81,,
13,2022746380078960960-2303142341-1,2303142341,5,81,,,,
14,3022098769984207831-2303142108-19,,,,2303142339,1,,
